iter	MAE
0	10708.84295
1	10457.64237
2	10220.34706
3	10001.5904
4	9792.812723
5	9615.347262
6	9448.052747
7	9286.342003
8	9131.038355
9	8984.323823
10	8847.626819
11	8725.880476
12	8595.00424
13	8468.816949
14	8361.289125
15	8259.909842
16	8158.41918
17	8048.550368
18	7949.613042
19	7848.644351
20	7761.49471
21	7721.129857
22	7637.630606
23	7560.506038
24	7504.648322
25	7428.165768
26	7352.099679
27	7279.42025
28	7234.484806
29	7192.474812
30	7121.451082
31	7051.013854
32	6985.421878
33	6960.967841
34	6901.40085
35	6869.370275
36	6849.498447
37	6821.5333
38	6799.146378
39	6778.317311
40	6759.136834
41	6741.235791
42	6707.740027
43	6676.618149
44	6661.359226
45	6647.099132
46	6634.158125
47	6608.211854
48	6596.722146
49	6585.949154
50	6576.401964
51	6552.794528
52	6508.266155
53	6495.424352
54	6481.797558
55	6470.288167
56	6458.797516
57	6419.686494
58	6413.073535
59	6407.810152
60	6372.440619
61	6336.053928
62	6331.945845
63	6328.301446
64	6294.12962
65	6290.311305
66	6260.473829
67	6256.401614
68	6244.943748
69	6241.198856
70	6237.00544
71	6233.61316
72	6231.385142
73	6228.065378
74	6226.08679
75	6224.209655
76	6222.437051
77	6216.588107
78	6214.208842
79	6212.766225
80	6211.307615
81	6209.513803
82	6206.770004
83	6205.088277
84	6203.512649
85	6199.691454
86	6198.700686
87	6197.760328
88	6196.717074
89	6195.530542
90	6194.375841
91	6192.303037
92	6191.505559
93	6190.876715
94	6186.562624
95	6185.977121
96	6185.247669
97	6180.946332
98	6177.134415
99	6171.470455
100	6168.092463
101	6164.884643
102	6161.857242
103	6161.484978
104	6147.685493
105	6145.430335
106	6141.632215
107	6139.555109
108	6137.63433
109	6118.643347
110	6115.728591
111	6110.695947
112	6109.063214
113	6104.525899
114	6103.050357
115	6100.386112
116	6099.166402
117	6097.84649
118	6095.703772
119	6094.459934
120	6093.529031
121	6092.405301
122	6091.342331
123	6090.169361
124	6089.212612
125	6088.458073
126	6083.275424
127	6082.411949
128	6077.813198
129	6077.022432
130	6076.271291
131	6075.59986
132	6074.155137
133	6073.362061
134	6072.886074
135	6072.489498
136	6072.054844
137	6071.672297
138	6061.52651
139	6052.228101
140	6051.400144
141	6050.820719
142	6050.097365
143	6049.410318
144	6043.975493
145	6035.84641
146	6034.867123
147	6034.146896
148	6033.271309
149	6032.697239
150	6032.158288
151	6031.397629
152	6030.948583
153	6030.456786
154	6030.075247
155	6029.741154
156	6029.244289
157	6028.928144
158	6028.378627
159	6028.054788
160	6027.546124
161	6027.253034
162	6026.851004
163	6026.561255
164	6022.008275
165	5987.203769
166	5986.986839
167	5986.739513
168	5986.504862
169	5985.998892
170	5985.78927
171	5982.006382
172	5981.820072
173	5981.632205
174	5981.454474
175	5980.840614
176	5980.288772
177	5980.111977
178	5979.940641
179	5979.785225
180	5979.634786
181	5979.49341
182	5979.163978
183	5979.05144
184	5978.929261
185	5978.814165
186	5953.476894
187	5927.532898
188	5927.433632
189	5923.286364
190	5914.998708
191	5914.904624
192	5914.28745
193	5914.206559
194	5914.13062
195	5913.570377
196	5894.910765
197	5894.756833
198	5894.670777
199	5894.599965
200	5894.119095
201	5894.05477
202	5889.942155
203	5889.637581
204	5889.582151
205	5889.500588
206	5889.400317
207	5889.276782
208	5889.212418
209	5889.098581
210	5882.656487
211	5882.598213
212	5882.532748
213	5858.811812
214	5852.938907
215	5852.878597
216	5852.76533
217	5852.712198
218	5852.006837
219	5851.952062
220	5828.984501
221	5828.927981
222	5824.391891
223	5824.084297
224	5824.035139
225	5823.985779
226	5823.939057
227	5818.923281
228	5814.132822
229	5814.091487
230	5813.974948
231	5810.891603
232	5810.446385
233	5806.599363
234	5777.093948
235	5777.039576
236	5776.988102
237	5776.939537
238	5776.873505
239	5776.78618
240	5776.732469
241	5776.700131
242	5776.660847
243	5776.646814
244	5773.444505
245	5773.402944
246	5773.368052
247	5762.822385
248	5736.292108
249	5736.248351
250	5736.212191
251	5736.185196
252	5736.161238
253	5736.139385
254	5712.846739
255	5710.529015
256	5710.520497
257	5710.497437
258	5710.43951
259	5710.053219
260	5710.02818
261	5709.984155
262	5709.946407
263	5709.889342
264	5709.882136
265	5709.848178
266	5709.816068
267	5709.792068
268	5709.761693
269	5691.105494
270	5691.095076
271	5691.066469
272	5691.060613
