iter	Passed	Remaining
0	373	373474
1	724	361390
2	1074	356969
3	1428	355682
4	1757	349831
5	2056	340751
6	2328	330333
7	2659	329825
8	2936	323331
9	3264	323230
10	3595	323298
11	3924	323123
12	4242	322087
13	4575	322254
14	4898	321651
15	5186	318958
16	5500	318053
17	5786	315710
18	6110	315476
19	6396	313440
20	6719	313256
21	7055	313648
22	7379	313463
23	7667	311810
24	7920	308904
25	8231	308347
26	8551	308157
27	8885	308461
28	9159	306701
29	9449	305533
30	9756	304967
31	10075	304798
32	10397	304692
33	10747	305365
34	11077	305420
35	11397	305210
36	11724	305163
37	12038	304764
38	12366	304712
39	12665	303965
40	12975	303488
41	13250	302228
42	13562	301835
43	13875	301470
44	14186	301077
45	14460	299898
46	14773	299550
47	15045	298393
48	15356	298034
49	15665	297652
50	15981	297379
51	16294	297062
52	16609	296779
53	16935	296688
54	17224	295948
55	17507	295125
56	17820	294814
57	18135	294539
58	18411	293648
59	18720	293293
60	18999	292460
61	19278	291672
62	19565	290996
63	19886	290832
64	20210	290718
65	20497	290076
66	20805	289728
67	21145	289821
68	21440	289286
69	21728	288673
70	22010	287997
71	22358	288170
72	22686	288090
73	23021	288074
74	23291	287263
75	23622	287199
76	23942	287001
77	24363	287992
78	24684	287772
79	25004	287552
80	25279	286810
81	25558	286135
82	25867	285789
83	26142	285080
84	26453	284760
85	26782	284641
86	27072	284110
87	27340	283350
88	27613	282647
89	27960	282712
90	28266	282356
91	28535	281630
92	28843	281303
93	29170	281158
94	29491	280942
95	29818	280788
96	30154	280719
97	30477	280519
98	30814	280443
99	31138	280243
100	31424	279711
101	31695	279043
102	32026	278913
103	32338	278612
104	32624	278083
105	32953	277932
106	33273	277690
107	33591	277441
108	33905	277157
109	34226	276924
110	34567	276851
111	34900	276714
112	35193	276253
113	35518	276048
114	35814	275615
115	36101	275116
116	36388	274622
117	36659	274016
118	36990	273855
119	37293	273485
120	37601	273152
121	37888	272676
122	38161	272095
123	38449	271628
124	38770	271396
125	39100	271217
126	39420	270980
127	39704	270485
128	40021	270224
129	40340	269969
130	40608	269382
131	40931	269153
132	41276	269072
133	41579	268718
134	41895	268440
135	42226	268263
136	42507	267767
137	42828	267522
138	43111	267044
139	43382	266495
140	43703	266253
141	44018	265973
142	44320	265613
143	44635	265333
144	44949	265048
145	45248	264670
146	45573	264450
147	45899	264234
148	46179	263751
149	46517	263599
150	46814	263213
151	47130	262940
152	47436	262607
153	47742	262272
154	48061	262013
155	48391	261810
156	48714	261569
157	49037	261326
158	49340	260977
159	49623	260521
160	49939	260243
161	50275	260066
162	50559	259620
163	50873	259330
164	51192	259063
165	51505	258769
166	51811	258435
167	52108	258061
168	52417	257744
169	52733	257463
170	53014	257013
171	53297	256570
172	53597	256215
173	53875	255753
174	54152	255290
175	54431	254839
176	54738	254517
177	55050	254221
178	55355	253892
179	55656	253545
180	55989	253344
181	56312	253098
182	56621	252786
183	56926	252455
184	57251	252217
185	57582	252002
186	57868	251587
187	58183	251305
188	58483	250952
189	58765	250526
190	59091	250289
191	59408	250011
192	59691	249590
193	59972	249163
194	60256	248751
195	60620	248668
196	60988	248596
197	61271	248179
198	61552	247756
199	61861	247447
200	62140	247015
201	62430	246633
202	62710	246208
203	62991	245789
204	63268	245358
205	63608	245172
206	63933	244922
207	64260	244684
208	64535	244248
209	64855	243979
210	65139	243576
211	65424	243182
212	65742	242906
213	66086	242728
214	66400	242439
215	66727	242196
216	67059	241970
217	67347	241584
218	67624	241164
219	67898	240732
220	68201	240403
221	68481	239993
222	68805	239739
223	69144	239534
224	69432	239157
225	69751	238882
226	70063	238585
227	70385	238322
228	70698	238030
229	70986	237652
230	71268	237253
231	71555	236874
232	71866	236573
233	72183	236293
234	72468	235909
235	72749	235511
236	73062	235217
237	73375	234924
238	73671	234578
239	73992	234308
240	74303	234010
241	74589	233631
242	74877	233259
243	75185	232952
244	75499	232660
245	75782	232276
246	76095	231982
247	76409	231692
248	76746	231472
249	77081	231244
250	77375	230892
251	77638	230450
252	77951	230157
253	78236	229780
254	78548	229483
255	78879	229242
256	79164	228869
257	79477	228575
258	79741	228141
259	80043	227817
260	80353	227515
261	80655	227188
262	80983	226939
263	81296	226646
264	81587	226290
265	81931	226082
266	82244	225786
267	82520	225391
268	82857	225162
269	83153	224821
270	83456	224500
271	83758	224177
272	84063	223860
273	84399	223628
274	84686	223265
275	84973	222901
276	85254	222523
277	85550	222184
278	85866	221898
279	86146	221520
280	86429	221149
281	86744	220860
282	87061	220575
283	87334	220182
284	87642	219875
285	87970	219617
286	88251	219245
287	88545	218904
288	88832	218546
289	89116	218181
290	89393	217801
291	89694	217477
292	90003	217175
293	90324	216901
294	90633	216599
295	90905	216207
296	91191	215851
297	91464	215463
298	91760	215130
299	92037	214754
300	92309	214366
301	92591	214002
302	92865	213620
303	93149	213262
304	93429	212897
305	93702	212515
306	93985	212155
307	94279	211822
308	94605	211561
